age,gender,tenure_months,monthly_spend,visits_per_month,contract_type,support_tickets,churn
55,Male,29,62.68,6.0,monthly,3,1
65,Male,28,95.51,7.54,monthly,0,0
49,Male,18,68.65,5.53,quarterly,3,0
37,Male,33,45.68,4.25,monthly,1,1
37,Male,20,53.13,9.0,monthly,2,1
38,Female,22,95.54,8.56,monthly,1,0
57,Male,21,36.57,10.06,monthly,1,0
33,Male,39,97.58,9.64,monthly,3,1
26,Male,31,73.9,8.73,monthly,2,0
34,Female,19,51.15,9.67,quarterly,0,0
19,Female,45,63.34,7.87,monthly,1,1
23,Female,39,54.66,9.24,quarterly,0,0
22,Male,45,92.32,5.82,monthly,0,0
55,Male,36,89.65,9.11,monthly,0,0
52,Male,19,40.62,10.01,monthly,2,0
51,Female,38,66.93,5.99,monthly,1,0
40,Female,16,57.74,8.16,monthly,1,0
52,Female,14,100.87,6.13,monthly,3,1
25,Female,22,48.0,6.42,annual,1,0
61,Female,47,107.08,4.63,quarterly,1,0
42,Female,28,74.33,11.8,monthly,4,1
63,Female,19,51.76,11.2,quarterly,1,0
25,Male,23,61.45,9.61,quarterly,2,0
41,Male,14,58.97,13.92,quarterly,1,0
51,Female,32,49.51,7.43,monthly,0,1
41,Male,17,76.9,17.1,monthly,3,1
39,Male,27,50.44,7.32,monthly,1,1
25,Female,18,31.39,8.77,monthly,0,0
36,Male,16,67.41,6.81,monthly,1,1
29,Female,47,38.94,9.12,annual,1,0
32,Female,17,59.96,10.51,annual,1,0
50,Male,4,56.82,7.66,monthly,3,1
48,Female,19,57.58,13.33,monthly,1,1
47,Female,26,115.02,8.72,monthly,1,0
35,Female,5,76.13,8.81,monthly,1,0
64,Male,15,79.91,5.27,quarterly,3,0
22,Female,8,39.47,9.26,monthly,1,0
34,Female,25,61.92,7.6,quarterly,1,0
23,Female,35,79.31,6.18,annual,1,0
34,Male,47,54.51,5.67,quarterly,0,0
64,Male,19,93.16,16.02,quarterly,2,0
35,Female,42,50.95,7.21,monthly,2,0
61,Male,11,69.27,3.63,monthly,1,1
41,Male,38,63.28,5.91,monthly,1,0
51,Male,28,78.29,7.85,quarterly,1,0
39,Male,37,62.19,9.64,monthly,1,0
30,Male,37,69.58,9.66,quarterly,1,0
54,Male,26,70.28,10.03,monthly,0,0
64,Female,13,60.31,6.07,monthly,2,0
30,Male,26,84.7,9.02,monthly,0,1
55,Male,40,79.77,5.37,annual,1,0
30,Male,47,73.23,6.14,monthly,0,0
52,Female,45,66.39,5.25,monthly,0,0
55,Male,9,90.93,4.43,monthly,1,1
39,Female,29,70.28,11.19,quarterly,1,0
53,Female,6,68.87,10.07,annual,1,0
31,Female,33,77.09,10.93,monthly,2,0
21,Female,48,108.93,8.12,annual,0,0
22,Male,3,48.19,10.33,monthly,3,1
39,Female,32,90.4,2.72,quarterly,2,0
61,Male,46,37.14,10.59,monthly,2,0
24,Female,41,79.35,8.53,monthly,2,0
39,Female,19,106.5,9.88,quarterly,1,0
51,Female,5,84.77,9.14,monthly,2,1
27,Female,45,78.41,5.04,monthly,0,0
52,Male,45,63.79,3.51,quarterly,4,1
32,Female,28,75.62,5.86,annual,4,0
56,Female,47,69.96,9.69,monthly,0,1
45,Female,1,59.28,10.07,quarterly,1,0
44,Male,30,69.2,3.9,quarterly,0,0
26,Female,2,78.97,5.06,monthly,3,1
40,Male,45,59.66,5.83,annual,3,0
59,Male,33,58.87,6.93,monthly,1,0
18,Male,44,47.8,3.91,quarterly,0,0
54,Female,28,82.81,3.73,monthly,0,1
41,Male,4,85.91,5.53,monthly,5,1
52,Male,2,79.63,8.26,monthly,3,1
49,Male,17,94.3,4.46,monthly,0,1
38,Female,36,76.76,7.65,annual,1,0
32,Male,8,82.84,11.18,annual,1,0
48,Female,41,81.08,4.09,monthly,0,1
24,Female,12,73.17,7.38,monthly,0,1
46,Female,24,64.38,11.07,monthly,3,1
22,Female,10,119.28,6.75,monthly,0,0
49,Male,23,65.96,6.28,monthly,1,0
48,Male,22,61.68,11.49,annual,0,0
22,Male,1,83.68,7.08,quarterly,3,1
54,Female,28,80.04,11.31,monthly,1,0
37,Female,38,46.9,9.29,monthly,1,0
55,Female,45,97.45,6.97,quarterly,1,0
19,Male,16,73.12,9.44,monthly,1,0
26,Male,43,52.78,8.96,monthly,0,0
41,Male,43,98.78,11.06,monthly,0,0
27,Male,48,87.51,6.35,monthly,0,1
33,Male,18,49.71,8.12,monthly,4,1
49,Female,41,110.54,7.82,quarterly,0,0
24,Male,28,88.18,10.11,monthly,1,0
50,Female,3,74.8,4.92,quarterly,2,1
22,Male,13,106.8,11.05,monthly,1,0
26,Male,33,78.19,9.4,annual,1,0
46,Female,8,74.44,4.05,monthly,0,1
56,Female,21,61.79,11.62,monthly,0,0
26,Male,38,86.64,14.7,monthly,3,1
32,Male,8,84.53,11.01,monthly,0,0
62,Male,24,75.29,12.28,monthly,1,0
65,Female,11,59.2,8.26,quarterly,0,0
45,Male,26,77.6,3.02,monthly,1,1
39,Female,12,73.6,2.47,monthly,0,1
34,Male,47,48.33,8.77,monthly,2,1
47,Female,4,45.56,6.22,quarterly,2,0
46,Male,47,86.3,5.26,annual,0,0
32,Female,39,22.96,7.81,quarterly,3,0
19,Female,42,79.11,9.85,quarterly,0,0
25,Male,41,65.44,3.64,quarterly,2,0
64,Male,10,101.16,6.65,quarterly,1,0
38,Female,45,65.13,12.53,monthly,5,1
41,Male,29,88.19,4.77,quarterly,1,0
40,Male,47,67.06,10.61,quarterly,0,0
55,Male,43,77.27,6.55,monthly,1,0
21,Male,28,89.74,9.64,quarterly,3,0
21,Male,18,65.75,11.29,monthly,0,1
31,Male,6,94.93,10.22,monthly,1,1
41,Male,5,55.13,10.73,monthly,0,1
50,Male,19,80.89,4.55,quarterly,2,0
41,Male,39,93.45,11.34,annual,0,0
39,Male,25,88.2,5.44,monthly,1,0
63,Female,24,113.33,8.78,monthly,0,0
25,Male,12,59.73,8.77,monthly,1,1
45,Male,28,47.42,9.46,monthly,1,0
44,Male,31,55.11,9.01,annual,1,0
40,Female,48,88.21,5.47,monthly,1,1
56,Male,36,84.96,3.95,monthly,1,1
30,Male,30,77.05,10.62,monthly,0,0
63,Male,44,52.54,8.56,annual,1,0
33,Male,21,90.34,11.45,monthly,0,1
44,Male,45,50.51,7.87,quarterly,0,0
42,Male,18,98.18,3.78,monthly,3,1
58,Female,7,132.15,10.9,monthly,2,0
39,Female,21,82.33,6.89,quarterly,2,0
31,Male,7,86.66,9.03,monthly,1,0
19,Female,6,65.14,6.06,quarterly,0,0
35,Female,43,38.8,12.93,monthly,1,1
57,Male,39,62.95,5.37,quarterly,0,0
18,Male,11,53.14,6.99,quarterly,3,0
61,Male,41,46.06,8.32,quarterly,3,0
44,Female,4,109.45,4.72,monthly,1,1
24,Male,14,80.46,8.99,quarterly,3,0
32,Female,34,82.59,12.84,annual,1,0
44,Male,15,68.82,6.53,monthly,3,1
33,Female,36,71.54,9.19,monthly,1,0
23,Female,42,94.29,0.0,quarterly,3,0
49,Male,4,74.35,7.88,monthly,2,1
50,Male,2,85.61,7.06,quarterly,3,0
23,Female,46,71.08,5.54,quarterly,0,0
31,Male,25,68.16,11.24,monthly,1,0
29,Male,25,46.86,7.02,quarterly,2,0
49,Female,23,35.45,7.47,quarterly,2,0
53,Male,21,69.77,6.87,monthly,2,0
52,Male,34,76.13,2.25,annual,0,0
63,Male,28,49.28,4.6,monthly,2,1
54,Male,8,74.31,10.88,monthly,0,0
33,Female,31,76.08,1.67,quarterly,1,0
23,Female,33,31.88,5.7,monthly,2,0
47,Male,6,56.7,6.8,quarterly,1,0
61,Male,19,83.15,13.23,monthly,2,0
64,Female,38,82.74,10.31,monthly,1,1
29,Male,30,51.93,6.33,monthly,0,0
29,Male,7,78.17,11.91,quarterly,1,0
19,Male,2,95.45,5.78,quarterly,1,0
24,Male,28,90.54,11.03,quarterly,1,0
44,Female,23,73.09,3.92,annual,1,0
44,Male,47,65.64,11.22,quarterly,3,0
35,Male,26,62.41,6.78,quarterly,1,0
32,Female,45,84.36,4.91,monthly,2,1
57,Male,11,78.9,7.35,annual,2,0
40,Female,22,87.59,8.83,quarterly,0,0
56,Male,7,77.64,6.52,annual,1,0
64,Male,28,91.38,9.66,monthly,0,1
33,Male,10,76.89,6.25,monthly,3,1
27,Female,24,90.69,9.86,quarterly,1,0
63,Female,17,92.42,9.33,monthly,1,0
48,Male,9,58.91,7.82,monthly,3,0
31,Male,5,38.84,6.68,annual,1,0
47,Male,25,105.87,8.45,monthly,1,1
42,Female,46,80.13,9.65,monthly,0,0
61,Male,10,40.71,14.19,monthly,3,1
30,Female,20,60.72,10.82,monthly,1,0
65,Female,11,90.44,10.93,quarterly,0,0
62,Female,39,69.41,17.27,annual,1,0
26,Male,20,64.76,9.55,annual,1,0
25,Male,47,103.02,9.45,quarterly,0,0
43,Male,12,54.05,10.11,quarterly,1,0
20,Female,4,59.04,4.97,monthly,2,1
32,Female,28,79.23,6.67,annual,1,0
38,Female,32,82.81,6.48,monthly,1,0
64,Male,48,84.93,9.94,monthly,2,0
65,Male,42,93.22,7.48,annual,3,0
25,Female,43,78.97,8.41,annual,3,0
60,Female,31,84.79,11.26,monthly,3,1
22,Female,18,69.82,10.59,quarterly,1,0
53,Female,21,76.25,7.51,monthly,2,0
58,Male,7,77.15,5.99,monthly,1,0
60,Male,21,79.3,11.41,monthly,2,0
28,Male,18,90.45,10.32,monthly,1,0
60,Female,2,86.1,3.18,monthly,2,1
23,Female,10,75.88,7.06,monthly,2,0
42,Male,26,58.82,8.5,monthly,2,1
40,Female,18,76.35,10.34,monthly,0,0
33,Female,48,74.44,10.73,annual,2,0
19,Female,23,78.86,8.85,quarterly,1,0
55,Female,47,119.13,9.76,annual,2,0
34,Male,32,64.52,8.19,monthly,1,0
49,Male,2,83.45,5.98,quarterly,2,0
37,Female,10,96.37,7.22,quarterly,2,0
35,Female,34,76.96,8.06,monthly,1,0
60,Male,27,121.76,7.9,monthly,4,1
22,Male,15,67.44,2.34,monthly,1,1
53,Female,26,81.48,6.81,monthly,3,1
53,Female,44,59.02,8.17,monthly,3,1
36,Male,19,67.97,7.16,monthly,1,1
30,Female,3,79.98,7.26,monthly,2,1
18,Male,15,91.93,9.46,quarterly,1,0
62,Male,45,81.38,4.76,monthly,2,1
63,Female,37,100.18,3.12,monthly,2,1
29,Male,41,73.1,6.96,quarterly,0,0
19,Female,44,68.36,10.29,monthly,3,1
23,Male,6,129.08,13.06,monthly,2,0
21,Female,14,82.88,10.35,monthly,0,0
57,Male,3,60.61,3.6,monthly,2,1
60,Female,1,61.11,7.3,monthly,3,1
25,Male,41,56.15,8.77,monthly,1,1
53,Female,45,93.73,8.53,monthly,1,0
26,Male,8,67.71,9.62,annual,0,0
35,Male,35,77.55,5.25,annual,1,0
46,Male,26,73.73,8.19,monthly,0,0
52,Female,4,89.63,9.26,monthly,1,1
59,Male,44,58.07,10.48,monthly,0,1
20,Female,42,53.49,5.58,quarterly,3,0
27,Female,28,79.49,6.96,quarterly,2,0
31,Female,34,87.02,0.0,monthly,0,1
32,Female,20,81.65,6.14,monthly,0,0
65,Male,39,58.81,6.43,monthly,1,1
55,Female,22,88.55,4.94,annual,2,0
33,Female,48,60.12,8.5,annual,1,0
64,Male,4,64.57,7.83,monthly,0,1
41,Male,9,56.12,1.22,quarterly,3,1
42,Female,47,101.02,8.65,monthly,0,1
38,Male,14,87.67,5.22,quarterly,1,0
24,Female,15,87.1,9.46,annual,2,0
62,Male,38,99.94,4.15,monthly,3,1
18,Male,10,131.25,8.09,monthly,0,0
26,Female,25,40.82,7.15,quarterly,0,0
29,Male,14,60.23,8.91,monthly,1,1
31,Female,10,62.68,8.37,quarterly,0,0
24,Female,47,57.98,7.23,monthly,1,0
18,Male,10,53.45,3.39,annual,0,0
50,Male,5,69.01,3.57,monthly,2,1
64,Female,33,50.67,6.25,monthly,1,0
23,Female,42,81.7,7.98,monthly,2,0
32,Male,7,76.03,6.18,monthly,3,1
42,Female,34,84.62,9.88,monthly,0,0
62,Male,26,85.15,7.16,quarterly,2,0
51,Male,40,87.06,5.1,monthly,1,0
54,Female,7,67.53,7.17,monthly,1,0
45,Male,47,117.42,8.68,monthly,1,0
38,Female,30,79.69,8.97,monthly,3,0
27,Female,41,37.75,13.64,annual,1,0
59,Female,18,54.95,5.99,annual,2,0
56,Female,46,40.19,7.78,monthly,2,0
19,Male,31,75.35,9.28,quarterly,3,0
52,Male,7,72.56,7.93,quarterly,3,0
22,Female,45,65.63,6.5,annual,0,0
53,Female,39,115.22,3.35,monthly,2,0
57,Male,15,85.98,6.47,monthly,2,0
24,Female,27,89.52,4.78,monthly,4,1
38,Male,19,56.38,2.82,annual,1,0
23,Female,27,55.02,5.61,quarterly,2,0
45,Male,47,75.74,4.86,monthly,1,1
62,Female,44,78.46,9.75,monthly,1,0
21,Male,11,37.87,9.8,quarterly,1,0
37,Male,47,71.39,5.29,annual,1,0
64,Female,22,75.28,7.22,monthly,2,0
32,Male,34,70.7,2.43,quarterly,2,0
24,Male,37,58.73,6.52,monthly,1,0
41,Female,24,64.21,9.2,monthly,3,1
42,Male,22,71.46,10.47,monthly,0,0
49,Male,22,76.82,5.86,quarterly,1,0
33,Male,42,87.1,11.16,annual,2,0
63,Female,19,96.62,3.45,monthly,0,1
43,Female,14,69.11,4.26,monthly,2,1
31,Female,18,65.88,10.13,monthly,0,0
64,Male,10,83.75,13.01,monthly,0,0
62,Male,19,87.22,9.48,monthly,2,0
41,Male,6,66.32,7.88,monthly,0,0
19,Female,5,90.81,1.41,monthly,1,1
46,Male,35,94.59,1.93,monthly,2,1
44,Male,4,100.83,8.39,monthly,0,1
25,Female,28,110.57,6.93,quarterly,1,0
48,Female,38,57.67,4.68,monthly,0,1
58,Female,35,75.28,8.2,quarterly,2,0
23,Male,22,75.23,8.35,annual,1,0
52,Female,10,73.04,10.83,quarterly,2,0
24,Female,45,62.01,8.41,monthly,1,1
53,Male,41,45.29,11.69,monthly,2,0
38,Female,30,76.85,8.02,quarterly,1,0
18,Female,5,59.63,7.65,monthly,1,1
64,Male,2,76.72,11.19,monthly,0,1
25,Female,16,59.12,5.06,monthly,2,0
46,Female,8,53.01,16.44,monthly,1,0
26,Female,42,79.69,9.13,monthly,1,0
62,Female,10,78.02,9.14,quarterly,0,0
53,Female,14,86.59,9.58,monthly,3,1
56,Female,47,118.72,13.63,monthly,3,1
38,Male,40,80.55,10.38,quarterly,2,0
40,Female,11,84.7,3.18,monthly,2,1
48,Female,19,53.45,12.21,quarterly,6,0
55,Female,25,49.26,6.98,monthly,1,0
58,Male,32,106.66,8.32,monthly,0,0
18,Male,45,56.53,4.16,annual,3,0
49,Female,42,54.12,9.58,monthly,2,0
23,Female,47,74.22,6.05,monthly,2,0
31,Female,2,73.2,8.3,annual,1,0
57,Male,12,56.95,7.15,quarterly,1,0
30,Male,28,68.9,13.78,quarterly,0,0
56,Female,3,99.59,13.95,monthly,1,1
40,Male,18,58.88,8.14,monthly,1,1
29,Female,8,47.13,8.19,quarterly,1,0
34,Male,45,93.85,6.88,monthly,0,0
43,Male,4,84.85,11.32,monthly,0,1
54,Female,8,62.59,7.01,quarterly,1,0
47,Male,10,43.36,6.74,monthly,1,0
62,Female,8,60.11,10.94,monthly,1,0
59,Female,28,73.91,6.39,monthly,2,1
54,Female,18,98.31,7.89,monthly,1,1
46,Male,44,54.27,3.26,quarterly,1,0
31,Male,13,73.31,10.11,annual,1,0
37,Female,26,88.5,13.82,monthly,3,1
23,Male,32,27.37,10.16,monthly,2,0
35,Male,31,95.68,12.39,monthly,3,1
62,Male,39,51.35,5.46,monthly,0,0
38,Female,10,81.64,8.71,monthly,2,0
23,Male,25,79.93,5.17,annual,0,0
49,Male,39,96.69,7.32,monthly,1,0
64,Female,42,86.02,10.32,monthly,1,1
59,Male,30,27.45,8.31,annual,0,0
31,Female,32,59.3,3.76,monthly,0,1
39,Female,42,77.76,4.05,annual,0,0
43,Female,30,71.1,3.86,monthly,2,1
29,Female,46,84.55,9.47,monthly,3,0
30,Male,7,90.79,14.19,annual,1,0
29,Male,17,87.17,12.09,monthly,3,1
65,Male,6,70.71,2.31,monthly,1,1
53,Male,5,38.07,12.26,monthly,1,1
58,Female,23,65.89,10.81,quarterly,3,0
57,Female,11,83.33,3.36,quarterly,2,0
64,Female,20,53.19,7.09,monthly,1,0
23,Female,22,87.63,11.29,quarterly,1,0
60,Female,30,93.17,9.65,quarterly,2,0
21,Male,46,77.54,4.07,monthly,3,1
40,Male,41,20.0,9.83,monthly,1,0
46,Female,19,49.44,1.59,monthly,3,1
35,Male,16,112.72,7.33,monthly,1,0
25,Female,37,64.07,11.41,monthly,0,0
27,Female,6,35.32,8.06,monthly,3,1
57,Female,26,99.7,6.5,monthly,1,1
33,Female,21,75.27,10.67,monthly,2,1
32,Female,9,97.1,10.92,quarterly,2,0
62,Female,30,80.54,11.93,monthly,1,0
24,Female,16,84.17,10.62,annual,0,0
61,Male,9,82.26,11.24,annual,2,0
62,Male,32,88.95,10.2,quarterly,0,0
46,Female,9,120.55,8.8,annual,2,0
25,Female,33,94.42,8.27,annual,4,0
25,Female,8,43.39,7.29,monthly,1,0
31,Female,21,83.93,4.36,quarterly,1,0
45,Female,39,97.83,5.13,monthly,0,0
25,Female,11,99.05,7.15,quarterly,1,0
39,Female,37,66.47,8.72,monthly,0,0
23,Male,35,98.3,12.32,monthly,1,0
43,Male,44,93.55,7.87,monthly,3,1
19,Male,9,126.45,11.01,annual,1,0
52,Male,35,60.0,11.24,monthly,1,0
20,Female,45,64.85,7.31,monthly,2,0
27,Male,37,68.88,9.78,monthly,1,0
26,Male,10,65.2,7.27,monthly,0,0
57,Male,40,57.2,11.97,quarterly,0,0
20,Female,6,20.0,9.91,quarterly,0,0
38,Female,29,66.31,4.43,monthly,0,1
46,Male,24,82.39,8.48,monthly,2,1
42,Female,26,65.14,12.94,monthly,1,0
50,Female,25,113.71,7.46,monthly,1,1
56,Female,2,75.27,9.34,quarterly,2,0
36,Female,25,100.82,9.64,quarterly,3,0
57,Female,45,80.23,4.89,monthly,0,1
33,Male,21,91.53,9.53,quarterly,3,0
65,Female,14,80.58,3.82,monthly,3,1
42,Male,48,102.38,6.12,quarterly,1,0
53,Male,5,76.12,11.23,monthly,3,1
60,Female,24,84.92,9.07,quarterly,1,0
56,Female,25,82.33,7.09,monthly,1,0
58,Female,23,69.23,9.34,annual,2,0
43,Male,45,83.1,7.82,monthly,1,0
20,Male,21,119.69,8.04,monthly,2,0
41,Male,47,69.59,9.97,monthly,3,1
26,Female,4,83.39,5.82,monthly,1,1
60,Female,36,100.16,8.12,monthly,2,0
29,Female,29,97.81,7.06,quarterly,1,0
28,Female,12,75.23,3.24,quarterly,1,0
29,Male,11,27.33,5.24,monthly,2,0
48,Male,35,85.33,12.7,quarterly,3,0
45,Male,31,30.61,9.15,quarterly,3,0
63,Male,30,104.4,4.03,monthly,1,1
37,Male,3,78.39,3.38,monthly,0,1
31,Male,29,94.99,7.66,monthly,1,1
20,Male,48,56.96,12.68,monthly,1,0
18,Female,1,43.95,7.44,quarterly,0,0
35,Male,23,80.22,11.92,annual,4,0
62,Male,24,74.33,9.06,quarterly,2,0
43,Male,44,65.17,9.41,monthly,3,1
60,Male,14,76.69,3.99,quarterly,1,0
22,Female,23,130.35,10.81,quarterly,2,0
22,Male,35,91.69,7.0,monthly,0,0
58,Male,3,95.99,10.59,quarterly,6,1
23,Male,39,91.88,5.56,monthly,1,0
20,Female,40,104.59,8.53,monthly,0,0
37,Female,35,71.2,9.06,monthly,1,0
62,Male,32,33.9,7.54,monthly,4,1
51,Male,36,71.23,9.21,annual,0,0
22,Male,38,91.23,7.2,monthly,1,0
58,Male,44,55.6,6.05,monthly,1,1
58,Female,21,71.47,12.82,monthly,0,0
56,Female,22,61.16,11.15,monthly,0,0
61,Female,31,105.04,5.72,monthly,1,0
29,Male,10,89.99,9.71,monthly,1,0
65,Male,42,88.03,5.77,quarterly,1,0
33,Male,37,87.43,4.45,monthly,0,0
56,Male,31,74.26,11.1,quarterly,3,0
45,Female,15,78.95,2.89,monthly,1,0
55,Male,17,51.3,10.78,quarterly,0,0
48,Male,21,31.27,7.24,quarterly,1,0
48,Female,32,78.0,7.37,monthly,1,0
47,Male,38,81.48,9.23,monthly,0,0
